Round,Player1,Player2,Winner,Probability
2,Yoshihito Nishioka,Carlos Alcaraz,Carlos Alcaraz,0.9336428267967178
2,Casper Ruud,Jakub Mensik,Jakub Mensik,0.6126760557668599
2,Alejandro Davidovich Fokina,Felix Auger Aliassime,Felix Auger Aliassime,0.7562521750762369
2,Roberto Carballes Baena,Dominic Stricker,Dominic Stricker,0.6314338276189779
2,Kei Nishikori,Tommy Paul,Tommy Paul,0.744353229099115
2,Ugo Humbert,Bu Yunchaokete,Ugo Humbert,0.6034761128354655
2,Quentin Halys,Arthur Fils,Arthur Fils,0.8054220140605108
2,Arthur Cazaux,Nick Kyrgios,Nick Kyrgios,0.6810008609244487
2,Luciano Darderi,Alexander Zverev,Alexander Zverev,0.9342212150313387
3,Jannik Sinner,Flavio Cobolli,Jannik Sinner,0.9345601780022229
3,Hubert Hurkacz,Holger Rune,Holger Rune,0.6804079883650667
3,Stefanos Tsitsipas,Karen Khachanov,Stefanos Tsitsipas,0.5518101581385754
3,Francisco Cerundolo,Alex De Minaur,Alex De Minaur,0.7599382122000475
3,Taylor Fritz,Giovanni Mpetshi Perricard,Taylor Fritz,0.7661096201238404
3,Ben Shelton,Lorenzo Musetti,Ben Shelton,0.5011601898239902
3,Andrey Rublev,Frances Tiafoe,Frances Tiafoe,0.6386943714694177
3,Alexei Popyrin,Daniil Medvedev,Daniil Medvedev,0.6850924509288991
3,Novak Djokovic,Tomas Machac,Novak Djokovic,0.6962772684535323
3,Jiri Lehecka,Grigor Dimitrov,Grigor Dimitrov,0.5759504369529151
3,Jack Draper,Sebastian Korda,Jack Draper,0.5425127725230983
3,Jordan Thompson,Carlos Alcaraz,Carlos Alcaraz,0.9056740211173436
3,Jakub Mensik,Felix Auger Aliassime,Jakub Mensik,0.5391017721528731
3,Dominic Stricker,Tommy Paul,Tommy Paul,0.7520029826904618
3,Ugo Humbert,Arthur Fils,Arthur Fils,0.557349187910204
3,Nick Kyrgios,Alexander Zverev,Alexander Zverev,0.8149271218654881
4,Jannik Sinner,Holger Rune,Jannik Sinner,0.9075906056812547
4,Stefanos Tsitsipas,Alex De Minaur,Alex De Minaur,0.6394481097268517
4,Taylor Fritz,Ben Shelton,Taylor Fritz,0.6859838689786424
4,Frances Tiafoe,Daniil Medvedev,Daniil Medvedev,0.6387822609140202
4,Novak Djokovic,Grigor Dimitrov,Novak Djokovic,0.7425845506082334
4,Jack Draper,Carlos Alcaraz,Carlos Alcaraz,0.7728018869080163
4,Jakub Mensik,Tommy Paul,Tommy Paul,0.6178855108240283
4,Arthur Fils,Alexander Zverev,Alexander Zverev,0.8280289826043842
5,Jannik Sinner,Alex De Minaur,Jannik Sinner,0.9205830354439284
5,Taylor Fritz,Daniil Medvedev,Taylor Fritz,0.6015768043351893
5,Novak Djokovic,Carlos Alcaraz,Carlos Alcaraz,0.6593302601114353
5,Tommy Paul,Alexander Zverev,Alexander Zverev,0.8103902564896842
6,Jannik Sinner,Taylor Fritz,Jannik Sinner,0.83660374319565
6,Carlos Alcaraz,Alexander Zverev,Alexander Zverev,0.5234996448256627
7,Jannik Sinner,Alexander Zverev,Jannik Sinner,0.8107551104907431
